TableInfo,[Sal],[Ery],[Cm],[Tmp],[Ofl],[Dox],[Linc],g
25,0.0,0.008969037443798358,0.0,0.0,0.0,0.0,0.0,0.935
27,0.0,0.01307984627220594,0.0,0.0,0.0,0.0,0.0,0.895
2,0.0,0.0,0.0,0.02343624125131429,0.0,0.0,0.0,0.72
2,0.0,0.013453556165697537,0.0,0.0,0.0,0.0,0.0,0.91
25,0.0,0.017938074887596717,0.0,0.0,0.0,0.0,0.0,0.845
2,0.0,0.01961976940830891,0.0,0.0,0.0,0.0,0.0,0.85
246,0.0,0.0,0.0,0.03515436187697143,0.0,0.0,0.0,0.6033333333333334
27,0.0,0.022422593609495896,0.0,0.0,0.0,0.0,0.0,0.81
27,0.0,0.02615969254441188,0.0,0.0,0.0,0.0,0.0,0.765
2,0.0,0.0,0.0,0.04687248250262858,0.0,0.0,0.0,0.52
25,0.0,0.026907112331395075,0.0,0.0,0.0,0.0,0.0,0.755
2,0.0,0.031391631053294254,0.0,0.0,0.0,0.0,0.0,0.75
2,0.0,0.03269961568051485,0.0,0.0,0.0,0.0,0.0,0.74
2,0.0,0.0,0.0,0.05859060312828572,0.0,0.0,0.0,0.45
25,0.0,0.03587614977519343,0.0,0.0,0.0,0.0,0.0,0.6699999999999999
2,0.0,0.04036066849709262,0.0,0.0,0.0,0.0,0.0,0.68
37,0.004373587900756678,0.0,0.0,0.0,0.0,0.0,0.0,0.98
37,0.013120763702270036,0.0,0.0,0.0,0.0,0.0,0.0,0.93
37,0.021867939503783393,0.0,0.0,0.0,0.0,0.0,0.0,0.86
37,0.03061511530529675,0.0,0.0,0.0,0.0,0.0,0.0,0.79
3,0.03936229110681011,0.0,0.0,0.0,0.0,0.0,0.0,0.72
3,0.04810946690832347,0.0,0.0,0.0,0.0,0.0,0.0,0.66
346,0.0,0.0,0.0,0.0,0.004461258170020663,0.0,0.0,0.99
346,0.0,0.0,0.0,0.0,0.007807201797536161,0.0,0.0,0.99
3,0.006997740641210687,0.0,0.0,0.0,0.0,0.0,0.0,0.97
346,0.0,0.0,0.0,0.0,0.008922516340041327,0.0,0.0,0.99
346,0.0,0.0,0.0,0.0,0.01338377451006199,0.0,0.0,0.99
346,0.0,0.0,0.0,0.0,0.015614403595072322,0.0,0.0,0.99
3,0.013995481282421373,0.0,0.0,0.0,0.0,0.0,0.0,0.92
346,0.0,0.0,0.0,0.0,0.017845032680082654,0.0,0.0,0.99
346,0.0,0.0,0.0,0.0,0.022306290850103317,0.0,0.0,0.9733333333333332
346,0.0,0.0,0.0,0.0,0.023421605392608482,0.0,0.0,0.9666666666666668
346,0.0,0.0,0.0,0.0,0.02676754902012398,0.0,0.0,0.9133333333333332
346,0.0,0.0,0.0,0.0,0.031228807190144644,0.0,0.0,0.79
3,0.027990962564842747,0.0,0.0,0.0,0.0,0.0,0.0,0.81
346,0.0,0.0,0.0,0.0,0.03569006536016531,0.0,0.0,0.6133333333333334
34,0.0,0.0,0.0,0.0,0.0390360089876808,0.0,0.0,0.51
346,0.0,0.0,0.0,0.0,0.040151323530185974,0.0,0.0,0.43
346,0.0,0.0,0.0,0.0,0.044612581700206634,0.0,0.0,0.2766666666666667
34,0.0,0.0,0.0,0.0,0.046843210785216964,0.0,0.0,0.25
36,0.0,0.0,0.0,0.0,0.0490738398702273,0.0,0.0,0.105
34,0.0,0.0,0.0,0.0,0.054650412582753126,0.0,0.0,0.11
3,0.0489841844884748,0.0,0.0,0.0,0.0,0.0,0.0,0.66
34,0.0,0.0,0.043909842414330165,0.0,0.0,0.0,0.0,0.5700000000000001
3,0.0,0.0,0.04830082665576318,0.0,0.0,0.0,0.0,0.51
3,0.0,0.0,0.051228149483385194,0.0,0.0,0.0,0.0,0.49
46,0.0,0.0,0.0,0.0070308723753942865,0.0,0.0,0.0,0.92
46,0.0,0.0,0.0,0.014061744750788573,0.0,0.0,0.0,0.825
46,0.0,0.0,0.0,0.021092617126182857,0.0,0.0,0.0,0.74
46,0.0,0.0,0.0,0.028123489501577146,0.0,0.0,0.0,0.665
46,0.0,0.0,0.0,0.042185234252365714,0.0,0.0,0.0,0.545
46,0.0,0.0,0.0,0.04921610662776,0.0,0.0,0.0,0.495
46,0.0,0.0,0.0,0.05624697900315429,0.0,0.0,0.0,0.45
46,0.0,0.0,0.0,0.06327785137854858,0.0,0.0,0.0,0.42
46,0.0,0.0,0.0,0.07030872375394286,0.0,0.0,0.0,0.385
46,0.0,0.0,0.002927322827622011,0.0,0.0,0.0,0.0,0.99
46,0.0,0.0,0.005854645655244022,0.0,0.0,0.0,0.0,0.985
46,0.0,0.0,0.011709291310488043,0.0,0.0,0.0,0.0,0.94
46,0.0,0.0,0.020491259793354075,0.0,0.0,0.0,0.0,0.84
46,0.0,0.0,0.023418582620976087,0.0,0.0,0.0,0.0,0.8
5,0.0,0.0,0.0,0.0,0.0,0.0,0.005976552275166144,0.99
5,0.0,0.0,0.0,0.0,0.0,0.0,0.011953104550332288,0.99
5,0.0,0.0,0.0,0.0,0.0,0.0,0.017929656825498432,0.97
5,0.0,0.0,0.0,0.0,0.0,0.0,0.023906209100664575,0.94
5,0.0,0.0,0.0,0.0,0.0,0.0,0.029882761375830718,0.91
5,0.0,0.0,0.0,0.0,0.0,0.0,0.035859313650996864,0.87
5,0.0,0.0,0.0,0.0,0.0,0.0,0.04183586592616301,0.83
5,0.0,0.0,0.0,0.0,0.0,0.0,0.04781241820132915,0.78
5,0.0,0.0,0.0,0.0,0.0,0.0,0.05378897047649529,0.74
5,0.0,0.0,0.0,0.0,0.0,0.0,0.059765522751661436,0.69
5,0.0,0.0,0.0,0.0,0.0,0.0,0.06574207502682758,0.64
57,0.0,0.0,0.0,0.0,0.0,0.0,0.00643628706556354,0.99
57,0.0,0.0,0.0,0.0,0.0,0.0,0.01287257413112708,0.985
56,0.0,0.0,0.0,0.0,0.0,0.0,0.009194695807947913,0.99
56,0.0,0.0,0.0,0.0,0.0,0.0,0.018389391615895825,0.96
56,0.0,0.0,0.0,0.0,0.0,0.0,0.02758408742384374,0.905
56,0.0,0.0,0.0,0.0,0.0,0.0,0.03677878323179165,0.835
5,0.0,0.0,0.0,0.0,0.0,0.0,0.04597347903973957,0.8
5,0.0,0.0,0.0,0.0,0.0,0.0,0.05516817484768748,0.73
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0643628706556354,0.65
57,0.0,0.0,0.0,0.0,0.0,0.0,0.01930886119669062,0.96
57,0.0,0.0,0.0,0.0,0.0,0.0,0.02574514826225416,0.93
57,0.0,0.04484518721899179,0.0,0.0,0.0,0.0,0.0,0.565
57,0.0,0.0,0.0,0.0,0.0,0.0,0.0321814353278177,0.885
57,0.0,0.0,0.0,0.0,0.0,0.009837757781922498,0.0,0.99
5,0.0,0.0,0.0,0.0,0.0,0.011477384078909582,0.0,0.98
57,0.0,0.0,0.0,0.0,0.0,0.019675515563844996,0.0,0.945
5,0.0,0.0,0.0,0.0,0.0,0.021315141860832082,0.0,0.92
57,0.0,0.0,0.0,0.0,0.0,0.029513273345767494,0.0,0.87
57,0.0,0.0,0.0,0.0,0.0,0.03279252593974166,0.0,0.85
5,0.0,0.0,0.0,0.0,0.0,0.03935103112768999,0.0,0.74
5,0.0,0.0,0.0,0.0,0.0,0.042630283721664164,0.0,0.7
57,0.0,0.0,0.0,0.0,0.0,0.049188788909612494,0.0,0.685
5,0.0,0.0,0.0,0.0,0.0,0.054107667800573744,0.0,0.58
5,0.0,0.0,0.0,0.0,0.0,0.05902654669153499,0.0,0.52
5,0.0,0.0,0.0,0.0,0.0,0.06394542558249625,0.0,0.48
57,0.0,0.0,0.0,0.0,0.0,0.0,0.03861772239338124,0.835
5,0.0,0.0,0.0,0.0,0.0,0.06886430447345748,0.0,0.44
6,0.0,0.0,0.0,0.07733959612933715,0.0,0.0,0.0,0.35
6,0.0,0.0,0.03220055110384212,0.0,0.0,0.0,0.0,0.66
7,0.0,0.0037370989349159826,0.0,0.0,0.0,0.0,0.0,0.97
7,0.0,0.007474197869831965,0.0,0.0,0.0,0.0,0.0,0.95
7,0.0,0.009342747337289957,0.0,0.0,0.0,0.0,0.0,0.93
7,0.0,0.01494839573966393,0.0,0.0,0.0,0.0,0.0,0.87
7,0.0,0.018685494674579913,0.0,0.0,0.0,0.0,0.0,0.84
7,0.0,0.02989679147932786,0.0,0.0,0.0,0.0,0.0,0.71
7,0.0,0.031765340946785854,0.0,0.0,0.0,0.0,0.0,0.7
7,0.0,0.037370989349159826,0.0,0.0,0.0,0.0,0.0,0.64
7,0.0,0.05231938508882376,0.0,0.0,0.0,0.0,0.0,0.53
7,0.0,0.0,0.0,0.0,0.0,0.0,0.04505400945894478,0.77
7,0.0,0.0,0.0,0.0,0.0,0.004918878890961249,0.0,0.99
7,0.0,0.0,0.0,0.0,0.0,0.008198131484935416,0.0,0.99
7,0.0,0.0,0.0,0.0,0.0,0.014756636672883747,0.0,0.98
7,0.0,0.0,0.0,0.0,0.0,0.01639626296987083,0.0,0.97
7,0.0,0.0,0.0,0.0,0.0,0.024594394454806247,0.0,0.93
7,0.0,0.0,0.0,0.0,0.0,0.03443215223672874,0.0,0.86
7,0.0,0.0,0.0,0.0,0.0,0.04099065742467708,0.0,0.81
7,0.0,0.0,0.0,0.0,0.0,0.0573869203945479,0.0,0.66
