TableInfo,[Sal],[Ery],[Cm],[Tmp],[Ofl],[Dox],[Linc],g
1,0.017494351603026714,0.04110808828407581,0.0,0.0,0.0,0.0,0.0,0.59
13,0.017494351603026714,0.0,0.029273228276220108,0.0,0.0,0.0,0.0,0.815
1,0.017494351603026714,0.051385110355094764,0.0,0.0,0.0,0.0,0.0,0.52
13,0.017494351603026714,0.0,0.036591535345275136,0.0,0.0,0.0,0.0,0.76
1,0.02099322192363206,0.020554044142037906,0.0,0.0,0.0,0.0,0.0,0.78
13,0.02099322192363206,0.0,0.0043909842414330165,0.0,0.0,0.0,0.0,0.83
1,0.0,0.020554044142037906,0.0043909842414330165,0.0,0.0,0.0,0.0,0.88
13,0.02099322192363206,0.0,0.008781968482866033,0.0,0.0,0.0,0.0,0.825
1,0.0,0.020554044142037906,0.008781968482866033,0.0,0.0,0.0,0.0,0.86
13,0.02099322192363206,0.0,0.01317295272429905,0.0,0.0,0.0,0.0,0.82
1,0.0,0.020554044142037906,0.01317295272429905,0.0,0.0,0.0,0.0,0.79
13,0.02099322192363206,0.0,0.017563936965732066,0.0,0.0,0.0,0.0,0.81
1,0.0,0.020554044142037906,0.017563936965732066,0.0,0.0,0.0,0.0,0.73
13,0.02099322192363206,0.0,0.021954921207165082,0.0,0.0,0.0,0.0,0.815
1,0.0,0.020554044142037906,0.021954921207165082,0.0,0.0,0.0,0.0,0.67
13,0.02099322192363206,0.0,0.0263459054485981,0.0,0.0,0.0,0.0,0.795
1,0.0,0.020554044142037906,0.0263459054485981,0.0,0.0,0.0,0.0,0.61
13,0.02099322192363206,0.0,0.030736889690031115,0.0,0.0,0.0,0.0,0.77
1,0.0,0.020554044142037906,0.030736889690031115,0.0,0.0,0.0,0.0,0.55
13,0.02099322192363206,0.0,0.03512787393146413,0.0,0.0,0.0,0.0,0.745
1,0.0,0.020554044142037906,0.03512787393146413,0.0,0.0,0.0,0.0,0.55
13,0.02099322192363206,0.0,0.03951885817289715,0.0,0.0,0.0,0.0,0.72
1,0.0,0.020554044142037906,0.03951885817289715,0.0,0.0,0.0,0.0,0.5
1,0.026241527404540072,0.010277022071018953,0.0,0.0,0.0,0.0,0.0,0.87
13,0.026241527404540072,0.0,0.007318307069055027,0.0,0.0,0.0,0.0,0.825
1,0.026241527404540072,0.020554044142037906,0.0,0.0,0.0,0.0,0.0,0.77
13,0.026241527404540072,0.0,0.014636614138110054,0.0,0.0,0.0,0.0,0.8
1,0.026241527404540072,0.030831066213056858,0.0,0.0,0.0,0.0,0.0,0.67
13,0.026241527404540072,0.0,0.021954921207165082,0.0,0.0,0.0,0.0,0.78
1,0.026241527404540072,0.04110808828407581,0.0,0.0,0.0,0.0,0.0,0.54
13,0.026241527404540072,0.0,0.029273228276220108,0.0,0.0,0.0,0.0,0.75
1,0.026241527404540072,0.051385110355094764,0.0,0.0,0.0,0.0,0.0,0.48
13,0.026241527404540072,0.0,0.036591535345275136,0.0,0.0,0.0,0.0,0.71
1,0.031489832885448085,0.030831066213056858,0.0,0.0,0.0,0.0,0.0,0.65
1,0.031489832885448085,0.0,0.0043909842414330165,0.0,0.0,0.0,0.0,0.75
1,0.0,0.030831066213056858,0.0043909842414330165,0.0,0.0,0.0,0.0,0.72
1,0.031489832885448085,0.0,0.008781968482866033,0.0,0.0,0.0,0.0,0.77
1,0.0,0.030831066213056858,0.008781968482866033,0.0,0.0,0.0,0.0,0.72
1,0.031489832885448085,0.0,0.01317295272429905,0.0,0.0,0.0,0.0,0.77
